   Master          Slave         Bperp   Delay

20150118        20150717        10.68           180
20150118        20190415        3.43            1548
20150118        20211224        0.77            2532
20150118        20221113        -0.92           2856
20150717        20190415        -7.24           1368
20150717        20190720        -5.0            1464
20150717        20210311        -1.01           2064
20150717        20241102        6.73            3396
20190415        20200328        -0.2            348
20190415        20211224        -2.66           984
